Id,Designator,Package,Quantity,Designation,Supplier and ref,
1,J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Switch,,CASE
2,U3,TQFP-32_7x7mm_P0.8mm,1,ATmega328PB-AU,,Benjamin
3,"C1,C4,C7,C8,C10",C_0603_1608Metric,5,10uF,C344022,LCSC
4,U1,SOP8-EPAD,1,TP4056,C725790,LCSC
5,U2,SOP8-EPAD,1,XB8089A,C669690,LCSC
6,U4,Texas_S-PVSON-N10_ThermalVias,1,TPS61230DRC,C139626,LCSC
7,D1,D_0603_1608Metric,1,CHRG,C84269,LCSC
8,Q2,SOT-23,1,NTR3C21NZ,C344010,LCSC
9,J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,BatteryIn,,
10,J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,HeatElement,,
11,"R1,R4",R_0402_1005Metric,2,x,,
12,"R2,R14",R_0402_1005Metric,2,10k,,
13,"R9,R13",R_0402_1005Metric,2,5.1k,,
14,R11,R_0402_1005Metric,1,2.4k,,
15,R12,R_0402_1005Metric,1,100R,,
16,"R15,R3",R_0402_1005Metric,2,100k,,
17,"R17,R18",R_0402_1005Metric,2,R_Small,,
18,"C3,C6,C11",C_0402_1005Metric,3,100nF,,
19,C5,C_0402_1005Metric,1,1uF,,
20,C9,C_0402_1005Metric,1,18nF,,
21,J3,HRO_TYPE-C-31-M-12,1,USB_C,C165948,LCSC
22,J5,PinHeader_2x03_P2.54mm_Vertical,1,ICSP,,
23,L1,Inductor_0530,1,1uH,C169353,LCSC
24,R5,R_0402_1005Metric,1,30k,,
